Number of items: 4222
Number of items with reviews: 3148
Number of reviews: 21765
Number of reviewers (non-anonymous): 12954

AuthorID                    Number of Reviews
OEovNitvbzQ3UUN1R1V2NFNiWm1hZm5FblZqSFlsbkQ=    9
ekcyWmZZekhxWitXWjV4QlRsMWRRUT09    9
d0c3NnYxM0prSUhEa3pwSnlvQ2Yvdz09    9
UVQwWFpod01aSmZpbHNnalNrUHpCcjNUSDVnNzR0Q1g=    8
anZ4WkhLUDBvR2FMUmxsb25waWZJR0VQNXh3SFRZaGg=    8
dmx6NVIvUy9EY1M0SmMzUk5ZaXM4YUlmRTVWRm9YTTE=    8
dURUMUJ1eFlCcEhjeDFUV0hwNm5sUT09    8
dEtUSmVGcEEzNXJqVm1IdzB5bUd3YjZKMGFOUE1oRmI=    8
MzdaOVo1SGZkNWg3ZkdhRUJUYytjUT09    8
cTAxK2NsL1BsYnpoL3E0aG00eXZPaUFxZGc3OGQ5TEM=    8
d1JXUkQwS1FKTDdtZ29uUmM3elN6SUduNTBFVGM5cHE=    8
N3A4cjVmaVRHck80dDNBTjBiYmhIUGFnTlV5RXFQOTg=    8
NFArdVoxaEg1RnRXdEZyMVo2VVBVMHdRU285VG1Ub2Q=    8
dkUwdXB5YTFuSGxHbCtvY2tFakE3L2N1elhzRGxHWXQ=    8
NkZMMjU2U3Z3Q3pLOFFKUWM1c012Skw3NGNyOU90bjA=    8
WFFTQ3ZpYVJMcXM4ZkhodXdTdUdUc1Vmb1NaNW0xL1Y=    8
Q0E3TkpCQWRUSHNFQ0Z3aklZS3lPR1I4b0VycEdQUWE=    8
NXNObDNsVWIzOW5ab3pWYjFoUUxMM3NyR29icFNoRzA=    8
c01qSXVXdDZkMENRdlV3M1JaSzF5dkJNR0I1VWhOLzY=    8
REF1ZjdnMU5kejRiY1VxSzhKdFNIT0VNMzV1ZFA0R1I=    8
Uk12U25hbGM2SG12eW5nZ1RmQnRSV1lLR2NtVWw1ZzA=    8
M3hzYk0vQzY1MVRKczhhUDRQOGFHZz09    8
M004Rkp0SDFwd1k2K3NrNW83UGFkSStrZ3c3Z1JZak8=    8
WjNkUW5hZm44K2oxbEd1THhhTmV5Nk85bHdBT1NOSFI=    8
ZU0xOGtQcDgrcnRSc1lKc1A1a2VLZz09    7
U09BLzZ6Szg5SEovcDBwOW1rcHJDVVd3SmluUWtIWG4=    7
WEtsdzFqeFdBWWtlSkJGbHJMRWl3Y3RqbzNwdUZjd24=    7
T3B4UFVFY2ZSMmVrS0VTbEpsYW5hQT09    7
ekVpdC9vWTgycmlveXlHOW1xMlJCZz09    7
dy9aQ2E5RWUySmZ4YldidEx1aG1MenpzNnVHcFlSS1k=    7
VEcycjMvR0k2Zk04bFVHZFlqREtZOGhxM1dLQndWVGo=    7
ZS9hSU1SWmFiUXRlVEV2WGhmdUp6RTZXeFRFd0VOdmI=    7
SVg2RHArRzBOQ09Td3dpbWM1NHByZ28yUkpqblZ5T00=    7
dFhrd1Jpbk1iK21CRzNKR2FEYmJDNFdiaE44YVMxdVM=    7
N0FkditMelRWZnc2Ti9jbFVOMjVQRnp6cW0rOGNyRUo=    7
QWlKZG4vTDFYR0xpOEV4NGdZc1RhamlCTnQrd2ZuOTU=    7
d1R3WUc1bEZyR1Mza1hQWS9JZ1ZabzdDRUcwR2phaTA=    7
V0QwbGt6OENWUkF4eXVLWnJEdDhXSE1acDF2R0NmWDg=    7
WEVBRVJKSitlMDJjaHFpOCtHbWFROHFoUFNZQnNqb0E=    7
Mks5L1p1Vzd2cWxEODdiL2pzNm40QTJ2cDZsVUtiK0E=    7
eWpkblE3ZURIUjd4QkU0YndwOTBCdz09    7
SnE5ODZLcms5ZTFvWmh5aFlCYTh1bkVWMXRYdWE1NFk=    7
ejQ4NHlxMnM4amh1UlJ0Zmlxbzh4VHBSRERpWmF5NE4=    7
aTYyUjJtRkxPQTVSaFlkM1A2WHRzN0Iwa3g4b053dnc=    7
M2dWOVRFR2h1em15VmpsQVdPU2s2SkIyUWh5K3I0dE0=    7
ZktxelhlRXBoRCtpQW0wcUxyRU1Xbzg3MExrU085Slc=    7
WXBoMFFneVlLSzcxcFpjN3dNcVFiQjBnL2pFZEFTdVo=    7
QjBTZ1ZUbFNwRDdHSGdPd3dQRlpEUXR3UWVxa08xcVE=    7
azMwY29KbWc1cFpOTkZ4N0gvM2YwNXpIR1dJcDIzUVM=    7
Y0FZWWxzTjNlMVpIVHp1MnNTMy9TWno2c1k3eFFnazU=    7
WWJFdUNiNzNwNTBidTUvVWNjb09tUT09    7
dEJCb2FPR0pqT3hBejVMVXRGNW81S3hpamJwZkQ4SFU=    7
bHRmWFNQMXM1amdsMmU2T0ZrMG5hNFp4ZDA4bVpoOE0=    7
dk9NRmlRSjZTc1ozNlZSd0s4cUFUQT09    7
OUVUOEx2d3VobGU1ZmxxdlFZRVQzeit2dkN4V1psdEs=    7
YXdtaXM0ZE1MZlYzdkwvK1VEVHlhWjE0MU44U0xHR2I=    7
M1BnL21GRE5TaGtabU96aTZMMTVjUT09    7
Wi96d3Z2NGNheHY3YzBSUXNWNU1rYlRqSkZPYTE2aW0=    7
TWhRRTJJbEhCZXVweS9VMWZOY093Z2N5MmNIYVQ0Rks=    7
OW1IUzV2VGhpUzB3Y2hxNUwybHp3QT09    6
VWgwRHoycG1oSTlDS09tV2ZFdm02QT09    6
ZG44a25sVDBhNDE5N0NWTm9SaG1JQ3hGaG5EcVBpUHA=    6
T29LWkdyZjRwb2tkT1NHdEVVTmZFYjM5aHM3cDVLRE8=    6
NmxveWpzbG12YzNHR1hub09oZ2lwZz09    6
M2pRcFFCejJYeFVzMkd5RVJvenlZQT09    6
S0NzYTI3aVhmL1dPN0VMZ29YeTZxQT09    6
aDkwUy9xOWNBMVBlOGJ1VTlaMllwb25GQmhxYWJIemQ=    6
Uk9TdW9CTFJ5M0xFdEhVN2FhOXp2UT09    6
NDVkRC9Gelc3TVBWa3ZiZEtkRHh2OW44Wmc2d3Y5MVM=    6
WTk0ZmRqYS9XYkFoVVdnWTF0M2J5UT09    6
ZkY5QkV1WTROTkdWMHFFbkFXZHg0RjdmZW5Vd0FNY24=    6
SmNLaXRyZ29mc2pMa2RvcmQvcFQ5YTV5Q1B3a1g2b0w=    6
cFpERHBxRzNVYndNSm1CWU1vbDlxVk5QR1ZvRWlyUE4=    6
TXgvQkVDVWhlb1dWMWFxbEVBVGNmamdBQTRBTnlvdDc=    6
QlpvVmlwT2FyS3FDbVJ2VDc1NlNTZz09    6
blZCZnhXNjZUR2c1Y3JPT1hqb051dz09    6
cUk1TEYwdytUZ0dqSWlRMm9QbmtCTk5HQ3JpNmg5NFo=    6
NE1veHRvd2N1WXBYWmYvam5xald3Zz09    6
MzhXWjZzRE1jcjJISlgzNGtKSHd6bVpGdjdOOTNsQzM=    6
SnpyaDlzK3lROEE1cEliWjJMa2dmWkErM2lZVitGR3E=    6
NlhWcG1YSmt0d3JPWHkxMGpPZkpwQnFISkhmcXVBL3Q=    6
WisyZUZnd1NsSG1KMXpOdk45ZFFGQy9DSHcrRVZQWHI=    6
MkcvZjEzUE8vYmlEOE9XNXN2V0p4Z0krTndJek9tUFQ=    6
RExuVGlzTUlxZHE3OFIrTzhNN2MySlpac1c5d0dvSEw=    6
U0lKZ3hmK3hiMHNMd0RXUlBmcWZEcGozK2F4QkRJd2o=    6
eXA3WGY5VCtyTTQweG9CWFhmMG5ZUT09    6
dE5rcmQzUVYyWVU1N29UUjJCWW9pQT09    6
VHVuNnI0ZXVSK0VRTFlmYVR1M0xTQT09    6
bVg3RVR1SHZrSkhudmhYbkVldmlZaGpyRjQvN2NpeTk=    6
c2pkV2lpK2pQVVlJb05HZDV4VmllWStzejk5bUNoS3E=    6
NEsxQ1lTc0pPTjBlNkNOZXI4VDFzYTJYeGJoQVIzVkQ=    6
dVNvOFZBUlFGbVphNzJLQi96V3VNUT09    6
aXNyWXR4KytyREZLUzA1OXV0QWladz09    6
RGVVc3Q2OU02WUZoSWRhS2RWU2s0Zz09    6
QldUZ0JpTDVDdkUwN2N6QUZ5THVZUT09    6
Vitpdko0SU9vb2M5RnVqQUNKaEZXdz09    6
d3RHdk9GaW1hNmdFRnRIbDJtMWhpRHlvL2VJb1dDRys=    6
WWptUXdDeTFBUTJxZDBUbk9kbGVhVVdHN0RzZjhycXA=    6
VWV0bmsvSCtoV2RMUTBIUC8zQyt0MldPL0RMdWJkY0c=    6
WGFTM1VKTk1KbTVyODlTRnhkN2hwbXd5K1VBcnBJZFU=    6
UUhkNSsrUDc4bEpOQnVoS2NsOHloK2tsc1o5ZE9QT20=    6
VVgzR2owUHZhdWxVQy8vU3h3OFBGOXJ2MWZlaW5UR1I=    6
elgzQlZHMGpOR3JCMHJrbnpDQWMrbTRSSzV6bDBUcHM=    6
bEliMFlRd0JYNHgyNzNvb21ia3locGZTallzcU1Pczg=    6
OG5xci9YaHhzbFYyUHYvUk4zaGJCcmdTSDRXTW1BN3E=    6
Y0tTVVU4S2dxRUkwR241dnl0SnIrUT09    6
aDBvNkZ3RUhHeWgvNWdzdHFoL09rMHVPVXo0dUNtc0w=    5
REs0TFpuY3hHR3JsaDR5TzhHeTBYQT09    5
NHhEWWtKQmJDU2VieWN5ZlhObGdQUT09    5
QU1IaGlUak1CRkFpRFdiSklnWE5yYWhLeXpLdzB2MW0=    5
Yy9VazFXMEF2ZVBWbDFnZlovL3NGdzh0Tm04TFdkZFY=    5
RkpQTlJQZ1kyc3pmTE1ydG1iL0d3dC9KNDhMUGhFdC8=    5
SWhyV1hDMTkxNUZTYWNxa25hZ0VzMXlXSDFRWTY3Tlk=    5
NmxveWpzbG12YzBpR2hPaTVxMVAyckRUWjhlbmVRU2Y=    5
aU9OVzVYWFdrcE9qNnI2M093TXJRaFNmMmFFY1lSOXg=    5
Y0Rzdzlrd2Z1SDhDWFhSZnBmenhJZz09    5
YWl3Y2hxQmluQ25SOTVOMXRxbFgrQ29ob0Y1aTBUVks=    5
WVcwS0lBUkF2bnplTk1lQXRiQVlYQ0FocDYzM0lSRjI=    5
N1FLNDB6TDltRk4yek93OFdGUExQQT09    5
L25IWDhaaU1mUGdtRno1RWJNZ3Y2Zz09    5
ZzVrOWF1T3E5TUFZMExVeGtuUzJuQT09    5
SXRLTm9OWTEvd1g1RnVPd1UzcjZvcXFIYkxla0VhanY=    5
ak9FMldScHJqRDlmZjhqYklkZW14SnFoZnZoMEFpUXE=    5
aTkrb25teDRuTnZ6MlNaQUVuU20rZz09    5
S084UGNLSXNRcHFPZjFndlk0bWo0dDZQMk1yZnJaTDE=    5
S2ZiSFBRZVBkbUlJeFFSbmZmTDhnQT09    5
MDJNbGRuMnRMaFk4OGZDVzFaOGdLRGxKRTRCYVRYanY=    5
dFNQTmJ2UGo1ekJWNXFrZlM3d21iQjJmSTZESUIwWlM=    5
bmpwN3RiMU02QWRxL0xxR29KYWI2MFc3TTgxQkN2aTg=    5
eTY0OGlXOVB4TktqSWdwU2pZSUVVenVaUVliYzVIclk=    5
L01MYUJ1S3B4U3ZjZ1hQQ2wzK0VDdz09    5
YVZING5oYUlrRDkzNTYvTUdCeE95NzJiWWhZSmlBaWI=    5
aVR5L2MvQW1KNnp0MnB4bjNVbElwUT09    5
M3gzeitoSlZqVzNObUcwMEp3WUU5QT09    5
d250SFFZSjRVRjl3dGZ3SGF5ZCt1RDlZMlNHR1BSMjY=    5
SWliNnV3ejVXSFl2MzJPb3ZiWnhpU0dFTm8zUU0vRmw=    5
RTdGNWRyc3BqSSt2SDkrYWNYQnJ1T1BRSGpiZmp1T00=    5
djJodmJCVmR5SWlQWUxFR3RPQVJwSWo2M1F6TU5ITzY=    5
aTgwbnZHK1Fzc3Yrd1c3SHpKcktZdz09    5
ekJqcHM3TW1oYTV1RDNteCtsS1ZxUT09    5
blhEd3hCVC9GYUdoWDNtYXlrT2I0T0FJZ2VrdUl4TzE=    5
QkU5RFRoWkt6L0x4Y0ZSRzN4M21lMEpWbDZTalpBR0o=    5
aHRBRitrMHRrdmt1R0g3K2hSYnZuQT09    5
TzhCZHJoMVllcFluZ2R3TVFiRHpnUnVBUUhXMXNnQzg=    5
MDVPZTRZbWRmN05HbThlKzArTmUzQT09    5
aHNtVkFtS3NHalJPd3ZHd3JZZG1OUzZvQ1NJSVVZL3c=    5
VWdHTUI2cTFMWlVNa0RUVUdUcHhwWkN0bXJET08yUUE=    5
blhEd3hCVC9GYUc2Qk9UYVFZa0EvYmdmMXFHOUt1Tkk=    5
ajBMeHo0RVNvaTBBRE9NVWpXOWsrUldNcmxIdE9GL2M=    5
Qm9tOW1WSTV3aXV0V0Rtb2dOc3h6SkxocC80WDhYdmk=    5
M2Q5Z2lmaXRuZWhKSUowT0JIb0xLOXRYeGVaeWY3ckI=    5
ZFk0ckhMQnZmalA5UHp3MUJXUTd5UT09    5
cmc3bjcySytuTGt6Q2pOaUdlMnJ2QT09    5
dmJEdWhNSkFiS0FranY1OTk2dEtBQjU2bFEzTVRsbVE=    5
MHA4em9wcmFnRVliTmF4ZDhYdVR6dz09    5
eDBmVjFjcUlRUmZTenpVRlFRQ0E1WFR4c3lGRE5Gb0Y=    5
L3hYTnlWc0NibC9vQ0x3QzV1SmF4Z2tDV1pQMFFQSDU=    5
b1RIVGJuN1ArTUdWUkVzOFBRbEVQWm51WEFXeVdyRys=    5
WUpCR2I2TC9vL0hOMzFIWklNeTVEZz09    5
TFdDQWpSVWJKZDk3NVJHN2RwL2VYVEhVRCtGNldZa1Q=    5
eXA3WGY5VCtyTTVpMDVySXdnZXNPdz09    5
a0tlbHdZQStESkFJV2JkaFZyU1dDUT09    5
ZjhBckZwejVBejc0aUtMekRDWUJtR082UXJLTEFDUFY=    5
UEFPSU13WHRicXNmQmlVN2taUzdQTDVSNG9pdVdWTG8=    5
bG5rVFBOUnlXTGEzdGNUSk50aHk5RnlTa1c1Vzk0Qmc=    5
bHZMbTVqTDhQMEY5Ui9mUXN1SU95Zz09    5
cUpteWI0WEtzYzBDLzQzVTNNNDgrZz09    5
d21tWHBxSk9DOVRpTkx4bjljMmptdz09    5
RWNKdTV6NGx6VnVHVGs3N2U4SFVnR0tKazhYRjc1OWI=    5
WVcwS0lBUkF2bnhYdWRDMTFBelhldz09    5
WW1LYlplbEVsbDZyVWVjVk9RSzdMWjViMnFvWGhnRVk=    5
cUl2cEhQaGJRNUNrR3AyUjBYQ0hCQkZCaGR0ejdHTlA=    5
dlZSWXZ2TVJZZlNvLzhzM3p1VmJ0UllLWTd5eEJwRUk=    5
djVJVEFETWFDK3FoT3Rlai9JbTVEd3JFZFBGTzErZUg=    5
Y0RoQlE0ZjFPbWRBQmFqc2lTaUhXUzBCS0N0R0hQRW4=    5
S2VLZEV6YUZqWGFJSE5sSk0zY2prVVlrWDhQVk1rZ24=    5
aGJVSTZGRkhpbGRndnhuZlJnS3F6WG53QTZUVVNLK2U=    5
UGhoZkNjb2pINmtmdlBFZnNVS0RiZHJZS1R3bHFOOG0=    5
enVnQ2RMZWNUSlRHVlBvY2xLTEZqaXBPYjJVSlRyQjY=    5
dWdKTmdob3FuT1VZbmdJcG5GbVJ4UHpicXhoZlJ1UFQ=    5
dGdlYlkxeS9zV2pPRXhrWmpqRTcvbFkvaXdpaEFoVlc=    5
YWk1SDlPRDdpTGV1R3VINGFtWllCQT09    5
RUJNQ3pRd053M2szMms4dEd6d3FreXZFSEpvMTNPWjU=    5
b0tHaklweHNtcFpFLzdFSGlSaXhYOWU5TTNXUEFlWUI=    5
STgzTkhIQ2d4ZHdqOUpvWVJBQkg5c1l6bi82SDR5cWY=    5
UWVnQmYvNzR1R2RNRzdadjVoSDIxVGR3WjFham1MbTM=    4
UWVnQmYvNzR1R2RQS3NKWjBOeU5idz09    4
YUVkMEVpYnllR0oxTXlBUG4rcE53SE5ySVNodGxSb0k=    4
MCtmSHFaODI1ZzJWK3FkVGs3dG5MUT09    4
Q1RoVm00SHRMVFBpd1RjRy9PNDVMZz09    4
TytJdTh1eGxVTVdEbDljRU9EeWdDVE01NnNjYk4rSFg=    4
UitoS3hpMUhza2paWEdWZm50NGREVGRzRFovelFHam0=    4
SnpzMjVzRmVkUXJqOTJpTTFpbjI5T0JFY1ArQlVnOGY=    4
Rnhjc0VnZ2VHWEZWOW1KS2lMdUtzVm9xWjhPL1lxMGU=    4
R253bmxwZlJCeXNaa2Q4Nkp6d290Zk1uZFZlQ1VpdmE=    4
a1BuNjkzc3BzcjNaeVJrWG5mT0twdz09    4
L1JwTHJhYXJ6M0dEbU1BUzlkajBLaS9COTQyZkN3R1I=    4
aUpIVjlERmR5RVU2N3NuSlp5ZVZUdz09    4
WjdMSzJPeHZZV3k2aE5jZ0FOVXI2STVieEFaaVRadFQ=    4
ajAvcEptM3F4UytJTFpYN09mUTBNakVkK1VIS0xZbVI=    4
enVnQ2RMZWNUSlM1UWU4TFBaeXIyQT09    4
a2hMMy8vcDhYVW42ZDNnM1Q1OUpHeVQzeHlPOC9xVzA=    4
ZlZWUEw5YmV6QTFCRVo5ZTZqaXFEUT09    4
SzBtSkFnRFgzUWVKcks2a29COG9wdnI4RHlvSXZJalU=    4
WjVuVmE2ek5oUmVFTGdVYk1pYnFBdz09    4
elRtbmVrK1RIOFViTFVxVjZLaithYXJtUU44RHZLb0c=    4
KzljMlBXQTBITjhMMkJZa05rcGtRZz09    4
cnc3bjkrZlZ6U2Jsa0QweXN5WkQ1WXlHMytUWmpNRGI=    4
VmZOeXl0bnJvWGg2bnNsbVAyREFrOVo0ZU5oc3MyRXU=    4
NEExdTZySWZVUDZ2WWY2TjQ0RWJWQT09    4
TjY5Z0E0TWlKNlo1eW9Fb1JObHd4V2RBNnF3SGxlOHk=    4
blRwOGErQnlaL2UrYmEzUVF2bzNmcXVSazFKMndNUDU=    4
OUR3ZkhFMVhTeGpycEpjWU5WdUFjUFczaTUwZUtQbC8=    4
R08yQzdTMGZlT1ZKWWV6K2ZVOU56bkpHazNpNnd2Vzc=    4
K0p3bWlpa0QwaWl1a2U1MGt4S2Zsdz09    4
NGFFbUNEMUdpeVpTYlE5YXlaWEZzRjQ5cnBKWVgxRlQ=    4
cFp1dTVUZ3huUDhWd242eWJCU1Y1UTdZbTEzMjNScUw=    4
ZGR4WndhTTd4Ri9tYjJoSzZaU2ZFamJ3aHpwZW5YSDU=    4
TDBTc2N4UTZSOUppelIyckRlZk1JOVFnS1ZYRCsva1I=    4
N3N1eWVGelhoc3NlbDVuL3pKdGhOUT09    4
K0lyZUNDNkdLZ0o0THBxUzVlVDNsbk5SR0JpUVNsekc=    4
Zno0UG1STHQ4ejV0YU9uNkJsM3NsaW5IZ3pXK3RlVm0=    4
MDEvdXUraTRDTFNDdGMva1RublUydz09    4
Z0VVRm4wUGNQWG1PSFl0NFNNTjdHUT09    4
TzVXdlJyVTAvVUtEMmc2MmVQNFFSMldTalZ1Q0Rydnc=    4
NjVVUjYwOXdHS3JLb3pGVHhoM1dBOG1NQWdIeHYrYUc=    4
VTVVS3dlN3p6QUpWcWxMckRzQ0RjVnBtUjZwbVRSd2M=    4
TVIxejZBazRuK2J0VldRQnl3SzFReG9sOTIrRk1XNUU=    4
eVc4TVZMYTBub2tLWXFmOUJuVWdHUT09    4
NE9vTzdQRkdlUXd2SFQ0eEpzc3FxS1J5dDFSdFZSb3c=    4
YjlTbDNINGlqM3Vlc1RscFJwVmFDWmJGdFFETEdoVkw=    4
VE1nU2RlYU1BdWNYUSs3VHRzcUIvVFZXOGF2MUI3enM=    4
WTErS2hvQVpwVGZodHFvZFcrWE1VanFkU3dDNEZLRm8=    4
ckhINFZhZlNlNDJWUmNTWjJsMjM5T1ExRW1ieklseGk=    4
N1JXeE9ndytCNi9ueDZqZjdIcFVWYmh0bFRSdWlodWs=    4
RnA1R1pUdHhuNWZnQkNHUGVmMVF6NGxNNlQ2NGtiaUI=    4
YlNsaEhVRm85TmRieS9MRGRTbmxldz09    4
MStab0VNZktaYVQ0c0ZlaUlRUVdUWFFIMFdLeURKMW4=    4
ZzFFNVdUSTdzWGUxcFprdWU1enpteTUzYmVucG9nU04=    4
SmZCd3kxTFRubElxaE52eW4zYTRvOWVSeUtGUjBaQnQ=    4
R3VWcmpMd2htUmpaQi82b1N3ZWpQZWpzYmpuaWV6c28=    4
TVhJWStITjVxNFphU0VTY2MxWmdHVVh6cGprV0xtUFE=    4
NDFkc01nZ0N4QkVnbzR1U2ZXdmgrVklpamtJVU42WHc=    4
VkY4UXF0akhDWEkvaE54UWVEVjI2V0xFTzc1amgrbUs=    4
MEc0YUpJZnBWWEl5RW5uWjdpOG56b1F1ajNYeEYxeVY=    4
dzdZZ0lOdDZmNnFCUzJKMXQ2VnBjQXU2cWRTdTg1S0Q=    4
YWdVdVY1MmQzaFFmSnFYYXFyMVIzRkhWT0dTbloxU1Y=    4
TTFvQTNKWU81eFl1dnpKa1BCSGlVQ21XTFVmNWhlMWs=    4
cDlxUG1ZZ0lUeS95VHdOTmcvVlVYTk45eTZvNkZWYlU=    4
eWx0Qjg1REx0T3M1YXJvRG42cmhSMlRTMWpGU3pjQUo=    4
UVI4Y3FOMktXYnFXdlp2VGtkbG9RN0xGSDVPeVBINUQ=    4
Z29HeUV2SU1IaExwVFBEY0RZeWg4M1JYVklqL2cwZEY=    4
RVJPMldLS0RNM0lOSDBFMTVQN0xMcHV6ZStVWU9HUkQ=    4
aWdNc2FLbzNCQWJYbE4vSGpGZkYxeXdZNmNDQ2tPdGc=    4
M2Y0dnhrSVJLZlkrR0FhcEwvRFdQVlNralZuTU84VmM=    4
QzdFUW9LaDBGVFl1OStYZXB2cGhpTVBueGxJV1gxSjY=    4
QlVWcnY0a1pYejg1OU5CVkUxN3I2dz09    4
NldsSnhacG9NNTcyR0M0cjZPVGVqenFSLzlNdFlGVDM=    4
T29LWkdyZjRwb25yQy9JL3hEWXlXU2NITUtVR2RzNkE=    4
bXhTUk44N0Mra055Sld1Uk10RkZuekZDckxhUktCQkI=    4
T0R5VGYwRlUxYXBQTlhRU0YwODZlKzdXMk9oSmNwOTY=    4
R2dVRFNMc1BwWXlETE5wYm9MSUtJZz09    4
dDVBTU9RNWNOdDhFVlFWQnBYdEIvTzdWVUxKNFZUUTc=    4
QldZbkh2NGdiK1N3R1pLbUcyaUJWdz09    4
RUZtYkM4QUFWTmh6K2lOQ1gyV1RPdz09    4
MUZPQlBiN3V1TVRrYnM1aXNBQ01WcGxmL2lYbnd6Q2k=    4
RW1YTWRkTU50MFdwcS9lcklTL3RsbnViQ2FBdmU1RUw=    4
YVpubVNUTlVmSzRXOFc3clorYnltOHpUNHdqOE1aZEc=    4
eis4NXFQNExSaUxJbmJGaVpVUEJad1VxKzkxazNNUjc=    4
VXNzanpkQS9EMlJrclJTZW1BSnVEWE5iZGJuRXo5akQ=    4
Y3A3cW1ERFU4OTN2UlRHaXVPVkN2eFVjVkFibjNBeXU=    4
T0dDZUF3QzFTaG5mMU8rVmpvd1B2UT09    4
NG9Penc3dFQwY0dFcGMvZ2VxRkdQZz09    4
bDZLZHh0NVdGdm1Fb2IzaFlIZlBBdz09    4
VWszajhjKy9Ta0tFNTFVUi8yelRtOEZhU00zVEpRQlo=    4
N3BBZXpBYkt3ekQ4TS9XMS90VytrcC9kYUg5WTMxaDk=    4
S1dUV2NKNlVpWEFpR0hDeWVsRGdkSERvUFgvTkU4a0w=    4
TzVrRWh1Wng0Y0d5dGZOc3puTDhnWjVnR28xUVVwZ2M=    4
TDNtMU5vZHl0bitXV1BHcEJIcEdEdz09    4
NjRkbmtCdnpBY3FTQlVjMVlOaEtKUT09    4
LytzRkFJcHd2T0xUbVp1UzVuNFcrZz09    4
U1o3Q2MySUpRUjhHM3dFWGU2eEYyUktJK0ZxWm82RHU=    4
STNjRENNaENubi9nZ1Z6NXRmYkFUUT09    4
TWVJNnlIdytzTlAzMnFwUms4YnhXVnpTcjJhdXo3cGE=    4
QjdCc1ZpRnNNMnpnNkFBanVFYms0Zz09    4
